Unique.ID,Reserve,Site,Subsite.Strain,Subsite.Soil,PlantSpecies.Strain,PlantSpecies.Soil,CollectionDate,Waypoint,Lat,Lon,Elev,GenoData,PhenoData,Sequenced,Clade,nreA,nreX,nreY,nreA_alleles,nreX_alleles,nreY_alleles,UV.MIT_mean,Ni.MIC_mean,Co.MIC_mean,Cr.MIC_mean,y0.no_mean,y0_lm.no_mean,mumax.no_mean,lag.no_mean,r2.no_mean,y0.ni_mean,y0_lm.ni_mean,mumax.ni_mean,lag.ni_mean,r2.ni_mean,OD72hr.no_mean,OD72hr.ni_mean,OD72hrRatio_mean,AUC.no_mean,AUC.ni_mean,ODf.no_mean,ODf.ni_mean,ODmax.no_mean,ODmax.ni_mean,Ni.ppm,CA.MG.RATIO,SerpentineType,Ni.ppm.A,CA.MG.RATIO.A,Ni.ppm.C,CA.MG.RATIO.C,Ni.ppm.X,CA.MG.RATIO.X,Ni.CV,CaMg.CV,SAMPLEID,OM,ENR,CEC,NO3_N,P1,HCO3_P,PH,BUFFER_PH,S,H,H_PCT,K,K_PCT,MG,MG_PCT,CA,CA_PCT,NA.,NA_PCT,AreaCounted,TotalPlantCount,Notes.Strain,Notes.Soil,Merge.Notes,Storage.note,Strain.issues
C209A,Hopland,NH,NA,NA,w,NA,NA,NA,38.98598623,-123.0742121,NA,has data,has data,Y,4,no,no,no,NA,NA,NA,48,3,NA,NA,0.173833333,0.146837499,0.069671261,2.41718754,0.998475178,0.1855,0.122396197,0.020856072,34.61146827,0.998869961,0.741833333,0.304633333,-0.589274358,66.00343333,16.73908333,0.7385,0.428733333,0.7546,0.429666667,1.63,2.55,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cryopreserved,
C220B,Hopland,NH,NA,NA,w,NA,NA,NA,38.98598623,-123.0742121,NA,none,has data,Y,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.63,2.55,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cryopreserved,
C221B,Hopland,NH,NA,NA,w,NA,NA,NA,38.98598623,-123.0742121,NA,none,has data,Y,NA,NA,NA,NA,NA,NA,NA,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.63,2.55,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cryopreserved,
C229A,Hopland,NH,NA,NA,w,NA,NA,NA,38.98598623,-123.0742121,NA,none,has data,Y,NA,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.63,2.55,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cryopreserved,
C232B,Hopland,NH,NA,NA,w,NA,NA,NA,38.98598623,-123.0742121,NA,has data,has data,Y,9,no,no,no,NA,NA,NA,44,4,NA,NA,0.1668,0.148079837,0.075642307,1.563724099,0.999670634,0.185933333,0.003602353,0.063506873,71.58038332,0.985663513,0.625,0.294566667,-0.528521068,60.32841667,27.7895,0.6719,0.6284,0.6719,0.637733333,1.63,2.55,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cryopreserved,
C255A,Jasper Ridge,SJ,NA,NA,w,NA,NA,NA,37.4056,-122.2270167,NA,none,has data,Y,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.5,0.55156658,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cryopreserved,
C264A,Jasper Ridge,SJ,NA,NA,w,NA,NA,NA,37.4056,-122.2270167,NA,has data,has data,Y,1,yes,yes,yes,2,1,1,48,4,0.375,1.5,0.1631,0.164952153,0.029409033,-0.382859061,0.945789834,0.167366667,0.150238994,0.021303787,6.178313213,0.92429214,0.366366667,0.312033333,-0.146620793,37.54571667,17.61578333,0.7782,0.348866667,0.7782,0.349566667,86.5,0.55156658,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cryopreserved,
C265A,Jasper Ridge,SJ,NA,NA,w,NA,NA,NA,37.4056,-122.2270167,NA,none,has data,Y,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.5,0.55156658,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cryopreserved,
C268A,Jasper Ridge,SJ,NA,NA,w,NA,NA,NA,37.4056,-122.2270167,NA,has data,has data,Y,1,yes,yes,yes,2,1,1,48,5.666666667,0.25,1.5,0.1708,0.169384362,0.029014523,0.288071747,0.996523278,0.179966667,0.134875778,0.024779752,13.15423835,0.998762572,0.427133333,0.5195,0.217403188,43.72398333,51.90383333,0.854833333,0.901033333,0.854833333,0.901433333,86.5,0.55156658,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cryopreserved,
C269B,Jasper Ridge,SJ,NA,NA,w,NA,NA,NA,37.4056,-122.2270167,NA,none,has data,Y,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.5,0.55156658,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cryopreserved,
C277A,Jasper Ridge,SJ,NA,NA,w,NA,NA,NA,37.4056,-122.2270167,NA,has data,has data,Y,1,yes,yes,yes,2,1,1,36,NA,0.25,1.5,0.158980208,0.119063065,0.040656082,20.8570981,0.99922359,0.167839583,0.102365776,0.025086526,39.27827502,0.995485445,0.361205903,0.265404167,-0.240597531,41.76517031,12.70361458,0.833042361,0.336957639,0.833042361,0.338048611,86.5,0.55156658,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cryopreserved,
C280B,Jasper Ridge,SJ,NA,NA,w,NA,NA,NA,37.4056,-122.2270167,NA,has data,has data,Y,2,yes,yes,no,3,1,NA,48,5,NA,NA,0.178966667,0.180608184,0.056172755,-0.157784255,0.988533621,0.190133333,0.19289211,0.046245376,-0.311567347,0.962198061,0.7575,0.904633333,0.199914823,67.68811667,93.33836667,0.799466667,1.294133333,0.799566667,1.294333333,86.5,0.55156658,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cryopreserved,
C285A,Jasper Ridge,SJ,NA,NA,w,NA,NA,NA,37.4056,-122.2270167,NA,none,has data,Y,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.5,0.55156658,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cryopreserved,
C372A,Jasper Ridge,NJ,NA,NA,w,NA,NA,NA,37.4039,-122.2392333,NA,has data,has data,Y,1,no,no,no,NA,NA,NA,36,3,0.75,2,0.154366667,0.150058104,0.054769137,0.512645853,0.997802925,0.170333333,0.013128083,0.050529621,50.99545154,0.989965144,0.522566667,0.287533333,-0.448935643,46.3785,14.81665,0.574433333,0.344966667,0.574433333,0.344966667,1.2,2.247433265,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cryopreserved,
C374B,Jasper Ridge,NJ,NA,NA,w,NA,NA,NA,37.4039,-122.2392333,NA,has data,has data,Y,1,no,no,no,NA,NA,NA,40,2.333333333,0.666666667,1.833333333,0.1485,0.139429748,0.070036923,0.896125659,0.99904207,0.162733333,0.006947841,0.046498801,69.95551909,0.99266057,0.430466667,0.235833333,-0.446958626,41.64198333,13.27191667,0.564733333,0.353033333,0.564733333,0.3558,1.2,2.247433265,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cryopreserved,
C380A,Jasper Ridge,NJ,NA,NA,w,NA,NA,NA,37.4039,-122.2392333,NA,none,has data,Y,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,2.247433265,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cryopreserved,
C384A,Jasper Ridge,NJ,NA,NA,w,NA,NA,NA,37.4039,-122.2392333,NA,none,has data,Y,NA,NA,NA,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,2.247433265,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cryopreserved,
C386A,Jasper Ridge,NJ,NA,NA,w,NA,NA,NA,37.4039,-122.2392333,NA,has data,has data,Y,1,no,no,no,NA,NA,NA,60,2,0.4375,1.666666667,0.158966667,0.143841232,0.033192731,3.012214225,0.997625315,0.1693,0.029517266,0.025341199,72.70904524,0.99827702,0.3229,0.200333333,-0.379548577,21.60583333,11.99495,0.4007,0.509133333,0.4007,0.509133333,1.2,2.247433265,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cryopreserved,
C391B,Jasper Ridge,NJ,NA,NA,w,NA,NA,NA,37.4039,-122.2392333,NA,none,has data,Y,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,2.247433265,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cryopreserved,
C394B,Jasper Ridge,NJ,NA,NA,w,NA,NA,NA,37.4039,-122.2392333,NA,none,has data,Y,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,2.247433265,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cryopreserved,
C395A,Jasper Ridge,NJ,NA,NA,w,NA,NA,NA,37.4039,-122.2392333,NA,has data,has data,Y,1,no,no,no,NA,NA,NA,60,3,0.25,1,0.1653,0.167700895,0.054852702,-0.262660889,0.982242026,0.1724,0.073747242,0.027318745,49.87221766,0.983814007,0.469933333,0.202266667,-0.569358662,39.43183333,10.56076667,0.4967,0.372466667,0.499733333,0.377033333,1.2,2.247433265,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cryopreserved,
C398B,Jasper Ridge,NJ,NA,NA,w,NA,NA,NA,37.4039,-122.2392333,NA,none,has data,Y,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,2.247433265,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cryopreserved,
C399B,Jasper Ridge,NJ,NA,NA,w,NA,NA,NA,37.4039,-122.2392333,NA,has data,has data,Y,1,no,no,no,NA,NA,NA,68,3,0.25,1,0.167766667,0.159467961,0.058317322,0.865283554,0.998119506,0.182733333,0.002589306,0.047367142,90.45608732,0.992225471,0.711366667,0.223466667,-0.685844296,63.93223333,16.40366667,0.6881,0.561866667,0.720933333,0.561866667,1.2,2.247433265,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cryopreserved,
C403B,Jasper Ridge,NJ,NA,NA,w,NA,NA,NA,37.4039,-122.2392333,NA,none,has data,Y,NA,NA,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,2.247433265,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cryopreserved,
C405B,Jasper Ridge,NJ,NA,NA,w,NA,NA,NA,37.4039,-122.2392333,NA,none,has data,Y,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,2.247433265,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cryopreserved,
C412B,Hopland,SH,NA,NA,w,NA,NA,NA,38.98598623,-123.0686556,NA,none,has data,Y,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.8,0.254,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cryopreserved,
C414A,Hopland,SH,NA,NA,w,NA,NA,NA,38.98598623,-123.0686556,NA,none,has data,Y,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.8,0.254,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cryopreserved,
C416B,Hopland,SH,NA,NA,w,NA,NA,NA,38.98598623,-123.0686556,NA,has data,has data,Y,1,yes,yes,yes,2,3,1,48,6,NA,NA,0.163666667,0.154941145,0.050364824,1.090388467,0.998451656,0.1728,0.055809348,0.040794324,27.95817673,0.997150832,0.5619,0.647866667,0.156318538,47.98945,56.10545,0.5759,0.875433333,0.582566667,0.877766667,21.8,0.254,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cryopreserved,
C420B,Hopland,SH,NA,NA,w,NA,NA,NA,38.98598623,-123.0686556,NA,has data,has data,Y,2,yes,yes,yes,3,1,2,44,4.666666667,0.25,NA,0.169266667,0.142685525,0.069588561,2.474792282,0.997685248,0.1921,0.191425685,0.044492297,0.092513898,0.997861173,0.851,1.0558,0.241771223,82.59643333,105.0824333,0.8964,1.328366667,0.8964,1.336266667,21.8,0.254,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cryopreserved,
C422A,Hopland,SH,NA,NA,w,NA,NA,NA,38.98598623,-123.0686556,NA,none,has data,Y,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.8,0.254,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cryopreserved,
C424B,Hopland,SH,NA,NA,w,NA,NA,NA,38.98598623,-123.0686556,NA,none,has data,Y,NA,NA,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.8,0.254,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cryopreserved,
C426A,Hopland,SH,NA,NA,w,NA,NA,NA,38.98598623,-123.0686556,NA,none,has data,Y,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.8,0.254,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cryopreserved,
C432A,Hopland,SH,NA,NA,w,NA,NA,NA,38.98598623,-123.0686556,NA,has data,has data,Y,1,yes,yes,yes,2,1,2,52,4,NA,NA,0.1721,0.104783138,0.050955169,11.12573174,0.985582025,0.1803,0.022023004,0.05953465,35.61194816,0.984124943,0.455533333,0.448033333,-0.015507984,35.195,28.03943333,0.478566667,0.437966667,0.4948,0.468033333,21.8,0.254,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cryopreserved,
C440A,Hopland,SH,NA,NA,w,NA,NA,NA,38.98598623,-123.0686556,NA,none,has data,Y,NA,NA,NA,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.8,0.254,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cryopreserved,
C440B,Hopland,SH,NA,NA,w,NA,NA,NA,38.98598623,-123.0686556,NA,none,has data,Y,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.8,0.254,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cryopreserved,
